Employe_num,full_name,gender,location_id,jobtitle_id,age,age_group,lengthservice_year,absent_hour
1,Molly Gutierrez,Female,loc31,jbt5,32,30's,6,36
2,Stephen Hardwick,Male,loc56,jbt5,40,40's,5,30
3,Chester Delgado,Male,loc187,jbt5,48,40's,4,83
4,Irene Simon,Female,loc236,jbt5,44,40's,3,70
5,Edward Delvalle,Male,loc148,jbt5,35,30's,3,0
6,Ernie Jones,Male,loc187,jbt5,48,40's,2,81
7,Ralph Buford,Male,loc232,jbt1,50,50's,10,60
8,Gregory Lee,Male,loc200,jbt5,36,30's,4,30
9,Jerry Smith,Male,loc148,jbt5,58,50's,6,181
10,Robert Beard,Male,loc232,jbt1,39,30's,13,30
11,John Mathis,Male,loc148,jbt5,46,40's,4,28
12,John Barajas,Male,loc112,jbt5,15,<20's,3,0
13,James Leonard,Male,loc152,jbt5,37,30's,3,0
14,Janet Davis,Female,loc231,jbt5,30,30's,4,34
15,Thomas Bell,Male,loc232,jbt1,49,40's,4,0
16,Danny Combs,Male,loc232,jbt1,42,40's,19,21
17,Anne Vivanco,Female,loc232,jbt1,48,40's,9,0
18,Bobbie Craig,Female,loc239,jbt5,41,40's,2,55
19,Ilona Jones,Female,loc148,jbt5,51,50's,5,81
20,Jan Watkins,Female,loc232,jbt1,36,30's,11,94
21,Jesus Callaway,Male,loc31,jbt5,57,50's,3,108
22,Josephine Hammett,Female,loc148,jbt5,24,20's,3,0
23,Sandra Jarman,Female,loc232,jbt1,49,40's,6,67
24,Jennifer Butler,Female,loc236,jbt5,60,60's,4,158
25,Larry Simons,Male,loc146,jbt5,35,30's,4,0
26,Penny Mason,Female,loc5,jbt5,35,30's,3,48
27,Theodore Burton,Male,loc114,jbt5,41,40's,4,42
28,Joseph Hunt,Male,loc225,jbt5,35,30's,5,34
29,Thomas Loiselle,Male,loc232,jbt1,40,40's,12,59
30,William Nguyen,Male,loc5,jbt5,49,40's,4,100
31,James Schrupp,Male,loc166,jbt5,38,30's,3,9
32,Adriana Donaldson,Female,loc232,jbt1,42,40's,19,38
33,Felipe Thompson,Male,loc67,jbt5,49,40's,5,129
34,Lester Livingston,Male,loc114,jbt5,77,70's,3,44
35,Emma Ashley,Female,loc58,jbt5,23,20's,2,0
36,Jeffery Davis,Male,loc232,jbt1,36,30's,18,0
37,Augustina Farris,Female,loc56,jbt5,51,50's,4,75
38,Katherine Colman,Female,loc173,jbt5,40,40's,6,58
39,Daniel Martin,Male,loc114,jbt5,52,50's,4,134
40,Morris Atencio,Male,loc130,jbt5,20,20's,4,0
41,Gloria Harrod,Female,loc1,jbt5,44,40's,4,78
42,Angelo Bell,Male,loc62,jbt5,67,60's,2,168
43,Virginia Kelley,Female,loc31,jbt5,41,40's,2,56
44,Stephen Turner,Male,loc215,jbt5,62,60's,5,152
45,Cecilia Mortimer,Female,loc236,jbt5,28,20's,5,0
46,Belle Stutts,Female,loc215,jbt5,49,40's,5,80
47,John Bryant,Male,loc232,jbt1,50,50's,1,78
48,John Nolan,Male,loc213,jbt5,33,30's,5,0
49,Connie Allison,Female,loc93,jbt5,51,50's,3,88
50,Greg McAllister,Male,loc232,jbt1,38,30's,20,21
51,Adam Murry,Male,loc31,jbt5,30,30's,7,3
52,David Price,Male,loc166,jbt5,43,40's,0,38
53,Corey McCoy,Male,loc148,jbt5,50,50's,5,116
54,Linda Baker,Female,loc146,jbt5,34,30's,4,0
55,Charles Shultz,Male,loc1,jbt5,29,20's,3,0
56,Bonita Medina,Female,loc203,jbt5,50,50's,3,77
57,Harold Houston,Male,loc54,jbt5,24,20's,4,0
58,James Mejia,Male,loc46,jbt5,42,40's,4,24
59,Charles Bates,Male,loc156,jbt5,54,50's,4,121
60,Robert Ross,Male,loc148,jbt5,43,40's,4,59
61,Joseph Heller,Male,loc87,jbt5,42,40's,5,55
62,Faye Murray,Female,loc232,jbt2,55,50's,10,0
63,Michelle Allen,Female,loc179,jbt5,31,30's,0,0
64,Harvey Jones,Male,loc11,jbt5,43,40's,5,55
65,Jane Nystrom,Female,loc112,jbt5,35,30's,3,44
66,Paul Albright,Male,loc243,jbt5,39,30's,5,42
67,Janet Lovely,Female,loc215,jbt5,22,20's,5,0
68,Billie Strayhorn,Female,loc232,jbt2,39,30's,11,0
69,Tammy Jones,Female,loc211,jbt5,46,40's,2,107
70,Donald Gay,Male,loc232,jbt2,44,40's,12,78
71,Earnest Green,Male,loc148,jbt5,52,50's,4,110
72,Wendy Riley,Female,loc89,jbt5,35,30's,3,33
73,Randall Malizia,Male,loc235,jbt5,42,40's,3,28
74,Florence Lopez,Female,loc31,jbt5,40,40's,3,44
75,Carol Howell,Female,loc72,jbt5,46,40's,1,126
76,Joyce Chico,Female,loc236,jbt5,45,40's,5,19
77,Anthony White,Male,loc112,jbt5,38,30's,6,0
78,Danny Smith,Male,loc232,jbt2,35,30's,8,44
79,Ana Porter,Female,loc134,jbt5,41,40's,4,45
80,Shari Depaz,Female,loc148,jbt5,43,40's,1,83
81,Alice Witkowski,Female,loc213,jbt5,54,50's,2,136
82,Kenneth Alvarez,Male,loc146,jbt5,46,40's,4,53
83,Soledad Morales,Female,loc91,jbt5,47,40's,4,96
84,Alexis Burden,Female,loc166,jbt5,51,50's,2,140
85,William Dyal,Male,loc236,jbt5,33,30's,2,31
86,Kenneth Hayden,Male,loc148,jbt5,47,40's,4,12
87,Joshua Caban,Male,loc232,jbt2,34,30's,13,54
88,Mildred Knight,Female,loc232,jbt2,37,30's,18,0
89,Linda Thurmond,Female,loc67,jbt5,45,40's,6,103
90,Terra Monroe,Female,loc114,jbt5,26,20's,3,0
91,Colleen Velez,Female,loc93,jbt5,37,30's,3,49
92,Lisa Martin,Female,loc232,jbt2,40,40's,1,58
93,Ramon Godfrey,Male,loc236,jbt5,48,40's,5,110
94,Monica Jackson,Female,loc77,jbt5,52,50's,5,158
95,Cristina Craig,Female,loc236,jbt5,37,30's,4,73
96,Daniel Schooley,Male,loc147,jbt5,29,20's,4,2
97,Jacquie Wireman,Female,loc148,jbt5,51,50's,4,99
98,Simone Tripp,Female,loc112,jbt5,39,30's,1,34
99,Jessica Cousins,Female,loc113,jbt5,26,20's,4,0
100,Mildred Drake,Female,loc31,jbt5,46,40's,7,81
101,Mary Gilreath,Female,loc236,jbt5,39,30's,5,51
102,Edwina Lundin,Female,loc148,jbt5,49,40's,2,121
103,Esther Gleason,Female,loc232,jbt2,43,40's,16,48
104,Donald Sharma,Male,loc146,jbt5,55,50's,2,137
105,Yvonne Hash,Female,loc236,jbt5,44,40's,4,98
106,Arnold Harris,Male,loc59,jbt5,29,20's,2,0
107,Christie Massey,Female,loc251,jbt5,46,40's,4,44
108,Hobert Webber,Male,loc144,jbt5,27,20's,4,0
109,Cynthia Edmondson,Female,loc31,jbt5,37,30's,4,39
110,Marjorie Paschall,Female,loc144,jbt5,50,50's,5,138
111,Dexter Johnson,Male,loc148,jbt5,46,40's,4,63
112,Keith Fox,Male,loc59,jbt5,50,50's,5,98
113,Alan Kamen,Male,loc117,jbt5,39,30's,1,56
114,Nancy Ogden,Female,loc120,jbt5,37,30's,5,25
115,Patricia Ervin,Female,loc9,jbt5,47,40's,3,96
116,Pauline Clark,Female,loc236,jbt5,50,50's,3,118
117,Debra Andrews,Female,loc148,jbt5,40,40's,6,34
118,Sybil Calderon,Female,loc5,jbt5,36,30's,6,72
119,Lee Torres,Male,loc232,jbt2,33,30's,3,0
120,James Ward,Male,loc1,jbt5,32,30's,7,0
121,Christiane Browning,Female,loc67,jbt5,58,50's,6,153
122,William Wurth,Male,loc67,jbt5,23,20's,5,0
123,Wesley Prescott,Male,loc184,jbt5,43,40's,7,53
124,Ligia Dunham,Female,loc104,jbt5,52,50's,4,113
125,Steve Garrett,Male,loc72,jbt5,45,40's,3,79
126,Tyrone Alexander,Male,loc215,jbt5,35,30's,5,29
127,Mary Cheek,Female,loc251,jbt5,37,30's,1,68
128,Carrie Ackerman,Female,loc232,jbt2,43,40's,21,30
129,Patricia Johnson,Female,loc154,jbt5,24,20's,3,0
130,Carey Haley,Male,loc239,jbt5,45,40's,6,40
131,Maria Hall,Female,loc230,jbt5,32,30's,3,49
132,Terra Bunch,Female,loc151,jbt5,39,30's,3,94
133,Terry Martin,Male,loc236,jbt5,35,30's,1,58
134,Brian Bass,Male,loc143,jbt5,49,40's,4,62
135,Robert Wagner,Male,loc232,jbt2,54,50's,17,30
136,Joanne McBride,Female,loc87,jbt5,44,40's,3,90
137,Paul Johnson,Male,loc232,jbt3,36,30's,18,37
138,Anthony Cook,Male,loc232,jbt3,55,50's,11,0
139,Dean Loch,Male,loc152,jbt5,43,40's,5,63
140,James Defoor,Male,loc179,jbt5,56,50's,4,101
141,Arthur Wadlington,Male,loc33,jbt5,43,40's,2,45
142,Vanessa Harte,Female,loc141,jbt5,50,50's,3,124
143,Zachary Galindo,Male,loc236,jbt5,49,40's,4,56
144,Kenneth Reardon,Male,loc232,jbt3,39,30's,16,0
145,Doris Flores,Female,loc232,jbt3,44,40's,11,111
146,Alice Busch,Female,loc232,jbt3,35,30's,13,0
147,Alfredo Phillips,Male,loc242,jbt5,61,60's,3,96
148,Christopher Lopez,Male,loc236,jbt5,47,40's,3,58
149,Emma Fernandez,Female,loc232,jbt3,34,30's,5,40
150,Sharonda Westling,Female,loc231,jbt5,37,30's,7,92
151,Ronald Pelletier,Male,loc221,jbt5,57,50's,5,116
152,William Chacon,Male,loc232,jbt3,37,30's,2,24
153,Leland Petty,Male,loc148,jbt5,37,30's,2,17
154,Ernestine Whitmire,Female,loc232,jbt3,40,40's,6,90
155,Matthew Rivers,Male,loc236,jbt5,49,40's,6,46
156,Kim Meyers,Female,loc92,jbt5,55,50's,4,156
157,Sheree Hebert,Female,loc170,jbt5,27,20's,5,14
158,Pearl Jacques,Female,loc235,jbt5,51,50's,2,113
159,Gabriela Valdez,Female,loc104,jbt5,61,60's,2,159
160,Harold Vidrine,Male,loc200,jbt5,66,60's,4,223
161,Edith Carbone,Female,loc232,jbt3,43,40's,23,0
162,Leonard Hernandez,Male,loc148,jbt5,40,40's,3,79
163,Frank Campbell,Male,loc244,jbt5,57,50's,6,154
164,Charlie Raley,Male,loc5,jbt5,31,30's,4,0
165,Robert Rayfield,Male,loc232,jbt3,35,30's,17,0
166,Melinda Shea,Female,loc187,jbt5,52,50's,6,88
167,David Coleman,Male,loc144,jbt5,30,30's,4,0
168,Patrick Haynes,Male,loc243,jbt5,54,50's,5,95
169,Frederick Bonilla,Male,loc215,jbt5,49,40's,3,120
170,Sonia Tobin,Female,loc232,jbt3,43,40's,13,0
171,Denise Wood,Female,loc130,jbt5,30,30's,5,0
172,Cynthia Guajardo,Female,loc214,jbt5,42,40's,0,82
173,Caroline Marshall,Female,loc236,jbt5,49,40's,5,121
174,James Ray,Male,loc179,jbt5,38,30's,3,34
175,Stephanie Baum,Female,loc232,jbt4,45,40's,14,69
176,Joesph Dubin,Male,loc114,jbt5,44,40's,4,56
177,Sarah Giles,Female,loc148,jbt5,43,40's,4,61
178,Angelica Layman,Female,loc236,jbt5,42,40's,5,60
179,Michaela Martin,Female,loc236,jbt5,44,40's,0,66
180,Michael Williams,Male,loc152,jbt5,45,40's,3,71
181,Arnold Hoyt,Male,loc239,jbt5,37,30's,6,33
182,Tina Belliveau,Female,loc236,jbt5,33,30's,3,46
183,Marvin Hoffman,Male,loc125,jbt5,40,40's,3,40
184,Paul Slavin,Male,loc170,jbt5,37,30's,4,29
185,Mary Rosenfeld,Female,loc236,jbt5,42,40's,2,44
186,Larry Bryan,Male,loc232,jbt4,45,40's,12,47
187,Oswaldo Hines,Male,loc112,jbt5,34,30's,4,0
188,Anna Finley,Female,loc232,jbt4,49,40's,1,121
189,Francis McCaffery,Male,loc236,jbt5,35,30's,5,31
190,Diana Ditch,Female,loc148,jbt5,53,50's,5,79
191,Bonnie Foster,Female,loc232,jbt4,43,40's,25,38
192,Mary Mitchell,Female,loc46,jbt5,19,<20's,4,0
193,Brenda Peterson,Female,loc108,jbt5,46,40's,5,44
194,George Stokley,Male,loc147,jbt5,44,40's,4,93
195,Harold Hauser,Male,loc31,jbt5,48,40's,5,96
196,James Russell,Male,loc146,jbt5,50,50's,1,71
197,Daniel Mott,Male,loc253,jbt5,59,50's,3,109
198,Michael Fernandez,Male,loc4,jbt5,35,30's,4,12
199,Norman Burton,Male,loc187,jbt5,51,50's,3,34
200,Tamara Forrest,Female,loc166,jbt5,57,50's,5,154
201,Robert Britt,Male,loc187,jbt5,52,50's,5,90
202,Jimmy Bennett,Male,loc236,jbt5,52,50's,3,113
203,Caitlin Watkins,Female,loc99,jbt5,51,50's,3,106
204,Amy Wann,Female,loc148,jbt5,35,30's,5,12
205,Dennis Roberson,Male,loc112,jbt5,52,50's,4,84
206,Francis Moore,Male,loc215,jbt5,43,40's,5,66
207,Philip Johnson,Male,loc187,jbt5,40,40's,5,0
208,Karen Parker,Female,loc147,jbt5,18,<20's,3,0
209,Maria Skipper,Female,loc27,jbt4,57,50's,19,72
210,Jennifer Klein,Female,loc232,jbt4,53,50's,35,0
211,Robert Vaughn,Male,loc78,jbt5,32,30's,4,0
212,Juan Anthony,Male,loc50,jbt5,36,30's,4,33
213,Glen Lavalley,Male,loc179,jbt5,44,40's,5,61
214,Alfred Elmore,Male,loc236,jbt5,54,50's,4,111
215,Billy Johnson,Male,loc215,jbt5,60,60's,2,174
216,Mary Ceaser,Female,loc232,jbt4,37,30's,19,46
217,Steven Collier,Male,loc232,jbt4,44,40's,11,41
218,Michael Aaron,Male,loc236,jbt5,43,40's,5,95
219,Kevin Moultrie,Male,loc236,jbt5,45,40's,4,22
220,Melissa Witt,Female,loc114,jbt5,37,30's,6,59
221,Gina Duvall,Female,loc232,jbt4,49,40's,12,57
222,Jeffrey Willard,Male,loc215,jbt5,42,40's,2,45
223,Thomas Jacobs,Male,loc236,jbt5,34,30's,6,50
224,Larry Lopes,Male,loc165,jbt5,44,40's,4,62
225,Betty Wolfram,Female,loc148,jbt5,39,30's,6,16
226,Heather Dunn,Female,loc112,jbt5,47,40's,2,85
227,Brent Kroon,Male,loc232,jbt4,44,40's,26,0
228,Michael Finke,Male,loc236,jbt5,41,40's,4,39
229,Florence Hulett,Female,loc161,jbt5,44,40's,5,57
230,Melanie Ponce,Female,loc112,jbt5,37,30's,6,38
231,Jeri Ellis,Female,loc184,jbt5,42,40's,3,118
232,Conrad Cox,Male,loc232,jbt4,39,30's,14,28
233,Raymond Smith,Male,loc148,jbt5,43,40's,5,73
234,Ryan Banks,Male,loc148,jbt5,48,40's,4,86
235,Bernadette Kendall,Female,loc187,jbt5,45,40's,6,106
236,Brian Fernandez,Male,loc239,jbt5,34,30's,6,0
237,Vicky Labrie,Female,loc138,jbt5,51,50's,5,107
